cluster,playlist,id
0,best_of_ska.csv,27
0,handpicked_indie_melody.csv,23
0,best_of_kpop.csv,18
0,handpicked_berlin.csv,16
0,handpicked_bravo_hits.csv,11
0,best_of_neue_deutsche_welle.csv,10
0,best_of_reggaeton.csv,9
0,handpicked_gisbert.csv,8
0,best_of_rnb.csv,8
0,best_of_pop.csv,8
0,best_of_latin.csv,8
0,best_of_rock.csv,7
0,handpicked_bremer_partymix.csv,6
0,2023_best_of.csv,6
0,best_of_trap.csv,6
0,best_of_reggae.csv,6
0,1970s.csv,5
0,best_of-country.csv,5
0,2023_bravohits.csv,5
0,best_of_rap.csv,4
0,best_of_afrobeats.csv,4
0,2010s.csv,4
0,handpicked_karaoke.csv,4
0,1990s.csv,4
0,2023_deutschrap.csv,3
0,handpicked_peter_licht.csv,3
0,best_of_metal.csv,3
0,best_of_britpop.csv,3
0,best_of_punk.csv,3
0,best_of_world.csv,2
0,2020s.csv,2
0,best_of_eurodance.csv,2
0,best_of-blues.csv,2
0,handpicked_peter_fox_radio.csv,2
0,2000s.csv,1
0,best_of_hiphop.csv,1
0,best_of_synthwave.csv,1
0,best_of_trip_hop.csv,1
0,2023_hiphop_mixtape.csv,1
0,2023_house_techno.csv,1
0,1980s.csv,1
0,best_of_electro_swing.csv,1
0,handpicked_slowdown_tuesday.csv,1
1,handpicked_gisbert.csv,13
1,handpicked_berlin.csv,12
1,handpicked_bravo_hits.csv,3
1,best_of_trip_hop.csv,3
1,best_of_rock.csv,2
1,handpicked_slowdown_tuesday.csv,2
1,best_of-blues.csv,2
1,best_of_folk.csv,2
1,best_of_trap.csv,2
1,best_of_synthwave.csv,1
1,handpicked_billie_eilish.csv,1
1,1980s.csv,1
1,best_of_soul.csv,1
1,1990s.csv,1
1,best_of_new_age.csv,1
1,best_of_metal.csv,1
1,best_of_kpop.csv,1
1,best_of_hiphop.csv,1
1,best_of_deep_house.csv,1
1,2023_best_of.csv,1
1,handpicked_sonne_mond_sterne.csv,1
2,best_of_new_age.csv,25
2,handpicked_indie_melody.csv,22
2,best_of_rock.csv,20
2,handpicked_bravo_hits.csv,19
2,handpicked_berlin.csv,13
2,best_of_trip_hop.csv,11
2,best_of_pop.csv,11
2,best_of_metal.csv,8
2,best_of_trap.csv,8
2,handpicked_gisbert.csv,7
2,best_of-country.csv,7
2,best_of_synthwave.csv,6
2,handpicked_bremer_partymix.csv,5
2,1970s.csv,5
2,2010s.csv,5
2,1990s.csv,5
2,2023_best_of.csv,4
2,best_of_kpop.csv,4
2,best_of_rnb.csv,4
2,best_of_britpop.csv,3
2,2000s.csv,3
2,best_of_dreampop.csv,3
2,best_of_rap.csv,3
2,best_of_punk.csv,3
2,handpicked_karaoke.csv,3
2,best_of_house.csv,3
