cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.12,0.67,0.6,0.02,0.17,0.13,118.67,0.33,230441.7,-7.67,1.0,3.98
1,0.12,0.73,0.75,0.03,0.18,0.12,119.64,0.75,218054.69,-6.43,0.0,4.0
2,0.74,0.52,0.34,0.02,0.18,0.08,114.63,0.34,230819.54,-12.06,1.0,3.8
3,0.09,0.72,0.77,0.03,0.16,0.1,121.04,0.78,217623.65,-6.5,1.0,3.99
4,0.05,0.5,0.86,0.03,0.28,0.09,132.55,0.47,234954.47,-5.54,1.0,3.98
5,0.78,0.35,0.25,0.82,0.13,0.05,110.33,0.17,283749.05,-17.16,0.0,3.73
6,0.07,0.66,0.72,0.77,0.15,0.06,124.25,0.37,311682.18,-8.78,0.0,3.94
7,0.09,0.6,0.71,0.02,0.2,0.12,124.97,0.36,229693.75,-6.63,0.0,3.99
8,0.07,0.65,0.73,0.76,0.16,0.06,124.05,0.42,286820.17,-8.72,1.0,3.97
9,0.61,0.63,0.48,0.02,0.17,0.14,119.06,0.47,218245.42,-9.76,0.0,3.92
10,0.45,0.71,0.63,0.01,0.19,0.15,121.02,0.72,212010.39,-7.89,1.0,3.98
11,0.79,0.32,0.22,0.82,0.14,0.04,105.05,0.16,304152.99,-18.72,1.0,3.71
